Category	Name	Weight	Unit	MRP	SP
Sugar	Avanti Sugar Cubes 	126	Cubes	65	57
Sugar	Madhur Pure & Hygienic Sugar (M) 	5	kgs	295	228
Sugar	Mawana Brown Sugar Sachet 	1	kg	200	140
Sugar	Mawana White Sugar Sachet 	1	kg	160	95
Sugar	Premia Sugar Candy 	200	gm	26	21
sugar	Mawana Brown Sugar 	1	kg	130	104
sugar	Mawana Caster Sugar 	1	kg	130	70
sugar	Mawana Icing Sugar 	1	kg	140	80
sugar	Organic Tattva Brown Sugar 	500	gm	75	52
sugar	Organic Tattva Sugar 	1	kg	140	93
sugar	Organic Tattva Suji 	500	gm	55	36
sugar	Paawak Jaggery Cubes Jar 	500	gm	100	65
sugar	Pitambari Ruchiyana Jaggery Powder  Chemical Free 	500	gm	75	37
sugar	24 Mantra Organic Sonamasuri Brown Rice 	1	kg	95	88
					
Spices	Premia Chilli Kashmiri 	100	gm	97	79
Spices	Premia Kashmiri Chilli Powder 	1	kg	459	371
Spices	Premia Red Chilli Powder 	200	gm	44	40
Spices	Premia Reshampatti Chilli Khandela 	500	gm	150	130
Spices	Ramdev Chilli Powder 	200	gm	110	94
Spices	Badshah Black Pepper Powder 	50	gm	80	40
Spices	Badshah Chat Masala 	100	gm	67	47
Spices	Badshah Chicken Masala 	100	gm	76	56
Spices	Badshah Hing Compounded 	50	gm	95	47
Spices	Badshah Kitchen King Masala 	100	gm	70	53
Spices	Badshah Rajwadi Garam Masala 	100	gm	81	60
Spices	Bedekar Goda Masala 	100	gm	60	45
Spices	Bedekar Ready Mix Pickle Masala 	100	gm	70	55
Spices	Everest Chaat Masala 	100	gm	69	58
Spices	Everest Chhole Masala 	100	gm	67	60
Spices	Everest Chicken Masala 	50	gm	41	36
Spices	Everest Coriander Powder 	200	gm	66	54
Spices	Everest Garam Masala 	100	gm	84	68
Spices	Everest Kesari Milk Masala 	50	gm	205	184
Spices	Everest Kitchen King Masala 	100	gm	74	63
Spices	Everest Meat Masala 	100	gm	74	62
Spices	Everest Pani Puri Masala 	50	gm	33	29
Spices	Everest Pav Bhaji Masala 	100	gm	74	62
Spices	Everest Sabji Masala 	50	gm	32	26
Spices	Everest Sambhar Masala 	50	gm	36	30
Spices	Everest Shahi Biryani Masala 	50	gm	70	58
Spices	Everest Tandoori Chicken Masala 	100	gm	78	68
Spices	Everest Tea Masala 	100	gm	102	88
Spices	Everest Turmeric Powder 	200	gm	64	54
Spices	Everest Yellow Hing Powder 	100	gm	170	150
Spices	Goldiee Chat Masala 	100	gm	62	31
Spices	Goldiee Chhole Masala 	100	gm	72	36
Spices	Goldiee Chicken Masala 	100	gm	62	31
Spices	Goldiee Garam Masala 	100	gm	76	38
Spices	Goldiee Kashmiri Mirch Powder 	100	gm	86	43
Spices	Goldiee Kitchen King Masala 	100	gm	70	35
Spices	Goldiee Meat Masala Special 	100	gm	78	39
Spices	Goldiee Pavbhaji Masala 	100	gm	64	32
Spices	Goldiee Sabji Masala 	100	gm	56	28
Spices	Hommade Ginger Garlic Paste 	200	gm	50	30
Spices	Hommade Tomato Puree 	200	gm	25	22
Spices	Jalaram Brand Black Pepper Powder 	50	gm	85	57
Spices	Jalaram Brand Cardamom Powder 	20	gm	110	74
Spices	Jalaram Brand Cinnamon Powder 	50	gm	75	50
Spices	Jalaram Brand Kashmiri Milk Masala 	20	gm	94	65
Spices	Jalaram Brand Nutmeg (Jaifal) Powder 	10	gm	35	24
Spices	Jalaram Brand Tea Masala with Saffron 	20	gm	60	42
Spices	Jalaram Kesar (Saffron) 	1	gm	280	199
Spices	Kapol Tea Masala 	100	gm	180	155
Spices	Kapol Usal   Misal Masala 	500	gm	55	45
Spices	Kubal Coriander Powder 	500	gm	165	82
Spices	Kubal Ready Mix Pickle Masala 	100	gm	60	30
Spices	Kubal SP Sunday Malvani Masala 	1	kg	740	370
Spices	Kubal Sunday Malvani Masala 	200	gm	150	75
Spices	Kubal Turmeric Powder 	500	gm	150	75
Spices	Kulith (Horse Gram) 	500	gm	52	43
Spices	Lapsi Rava / Daliya 	500	gm	30	24
Spices	LG Hing 	200	gm	304	245
Spices	Maggi Magic Cubes 	40	gm	35	32
Spices	Maggi Masala A  Magic 	72	gm	60	52
Spices	Masala Elaichi 	50	gm	102	78
Spices	Matki 	500	gm	75	60
Spices	Matki Small 	500	gm	101	84
Spices	MDH Chana Masala 	100	gm	78	58
Spices	MDH Chicken Masala 	100	gm	80	64
Spices	MDH Chunky Chat Masala 	100	gm	78	65
Spices	MDH Deggi Mirch 	100	gm	89	70
Spices	MDH Garam Masala 	100	gm	92	73
